,Esta es una base de datos que describe las operaciones inmobiliarias de una empresa,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,1,2004-01-01 00:00:00,Parking,Alquiler,Lleida,291,2133903,2004-06-19 00:00:00,Carmen
2,2,2004-01-01 00:00:00,Local,Venta,Girona,185,1945424,2004-04-19 00:00:00,Pedro
3,3,2004-01-01 00:00:00,Oficina,Alquiler,Girona,82,,2004-11-08 00:00:00,Joaquín
4,4,2004-01-02 00:00:00,Parking,Alquiler,Girona,285,,2004-04-27 00:00:00,Jesús
5,5,2004-01-02 00:00:00,Suelo,Venta,Tarragona,152,185000,2004-07-10 00:00:00,María
6,6,2004-01-03 00:00:00,Industrial,Alquiler,Girona,131,953156,2004-09-05 00:00:00,Pedro
7,7,2004-01-03 00:00:00,,Alquiler,Tarragona,,406686,2004-06-07 00:00:00,Pedro
8,8,2004-01-03 00:00:00,Oficina,Venta,Girona,235,2158475,2004-10-31 00:00:00,Jesús
9,9,2004-01-04 00:00:00,Piso,Alquiler,Lleida,108,1024380,2004-12-28 00:00:00,Jesús
10,10,2004-01-04 00:00:00,Parking,Venta,Lleida,299,2042768,2004-10-06 00:00:00,Joaquín
11,11,2004-01-04 00:00:00,Oficina,Alquiler,Girona,124,627068,2004-10-28 00:00:00,Pedro
12,12,2004-01-04 00:00:00,Industrial,Venta,Girona,187,999328,2004-04-05 00:00:00,Carmen
13,13,2004-01-04 00:00:00,Parking,Venta,Barcelona,,2937300,2004-11-04 00:00:00,Jesús
14,14,2004-01-04 00:00:00,Local,Venta,Tarragona,68,664700,2004-10-01 00:00:00,Carmen
15,15,2004-01-04 00:00:00,Industrial,Alquiler,Girona,176,820336,2004-11-29 00:00:00,Pedro
16,16,2004-01-05 00:00:00,Casa,Alquiler,Girona,179,937960,2004-11-21 00:00:00,Carmen
17,17,2004-01-05 00:00:00,Casa,Alquiler,Tarragona,58,358846,2004-10-08 00:00:00,Luisa
18,18,2004-01-06 00:00:00,Suelo,Venta,Barcelona,283,1679605,2004-06-06 00:00:00,Carmen
19,19,2004-01-07 00:00:00,Piso,Alquiler,Girona,55,472615,2004-04-09 00:00:00,Luisa
20,20,2004-01-08 00:00:00,Oficina,Alquiler,Barcelona,148,1169496,2004-08-19 00:00:00,María
21,21,2004-01-09 00:00:00,Industrial,Venta,Barcelona,228,2020992,2004-06-12 00:00:00,Carmen
22,22,2004-01-09 00:00:00,Oficina,Alquiler,Lleida,116,727552,2004-04-14 00:00:00,Pedro
23,23,2004-01-10 00:00:00,Casa,Alquiler,Girona,183,1438929,2004-04-21 00:00:00,Luisa
24,24,2004-01-10 00:00:00,Oficina,Alquiler,Tarragona,79,,2004-12-01 00:00:00,Joaquín
25,25,2004-01-10 00:00:00,Oficina,Alquiler,Barcelona,124,1170684,2004-05-23 00:00:00,Jesús
26,26,2004-01-10 00:00:00,Local,Alquiler,Tarragona,70,549780,2004-06-22 00:00:00,Jesús
27,27,2004-01-11 00:00:00,Local,Alquiler,Tarragona,70,659330,2004-12-23 00:00:00,Pedro
28,28,2004-01-12 00:00:00,Casa,Alquiler,Barcelona,187,1660560,2004-06-16 00:00:00,Joaquín
29,29,2004-01-12 00:00:00,Casa,Alquiler,Tarragona,91,753571,2004-07-07 00:00:00,Luisa
30,30,2004-01-12 00:00:00,Local,Alquiler,Tarragona,201,939072,2004-08-04 00:00:00,Carmen
31,31,2004-01-13 00:00:00,Industrial,Alquiler,Barcelona,142,1405374,2004-09-24 00:00:00,Jesús
32,32,2004-01-13 00:00:00,Casa,Alquiler,Girona,92,627348,2004-04-12 00:00:00,María
33,33,2004-01-15 00:00:00,Local,Alquiler,Barcelona,181,1504110,2004-07-03 00:00:00,María
34,34,2004-01-15 00:00:00,Casa,Venta,Barcelona,281,2483197,2004-11-01 00:00:00,María
35,35,2004-01-15 00:00:00,Industrial,Alquiler,Tarragona,257,1799771,2004-12-31 00:00:00,Luisa
36,36,2004-01-16 00:00:00,Industrial,Alquiler,Tarragona,140,1054340,2004-12-02 00:00:00,Luisa
37,37,2004-01-16 00:00:00,Local,Venta,Girona,229,1160572,2004-07-09 00:00:00,Pedro
38,38,2004-01-17 00:00:00,Suelo,Alquiler,Tarragona,300,1492800,2004-12-08 00:00:00,Joaquín
39,39,2004-01-18 00:00:00,Parking,Alquiler,Tarragona,215,1154980,2005-01-14 00:00:00,Joaquín
40,40,2004-01-18 00:00:00,Oficina,Venta,Girona,182,1057784,2004-07-22 00:00:00,Jesús
41,41,2004-01-18 00:00:00,Piso,Venta,Barcelona,230,1421860,2004-09-23 00:00:00,Jesús
42,42,2004-01-19 00:00:00,Oficina,Venta,Tarragona,168,1426992,2004-11-20 00:00:00,Jesús
43,43,2004-01-19 00:00:00,Oficina,Alquiler,Girona,74,579716,2004-09-22 00:00:00,María
44,44,2004-01-19 00:00:00,Casa,Venta,Girona,278,1537062,2004-12-16 00:00:00,María
45,45,2004-01-20 00:00:00,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02 00:00:00,Joaquín
46,46,2004-01-20 00:00:00,Oficina,Alquiler,Lleida,224,1294048,2004-10-29 00:00:00,Carmen
47,47,2004-01-20 00:00:00,Piso,Alquiler,Barcelona,53,249418,2004-08-11 00:00:00,Luisa
48,48,2004-01-20 00:00:00,Industrial,Venta,Barcelona,284,1457488,2004-07-06 00:00:00,Jesús
49,49,2004-01-20 00:00:00,Local,Venta,Girona,40,321680,2005-01-11 00:00:00,Jesús
50,50,2004-01-20 00:00:00,Local,Alquiler,Tarragona,235,957625,2004-11-13 00:00:00,Carmen
51,51,2004-01-20 00:00:00,Industrial,Venta,Lleida,90,568620,2004-12-14 00:00:00,Joaquín
52,52,2004-01-22 00:00:00,Local,Alquiler,Lleida,206,1605564,2004-09-26 00:00:00,María
53,53,2004-01-22 00:00:00,Suelo,Alquiler,Tarragona,158,1438748,2004-10-17 00:00:00,Carmen
